T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16
17.438	17.063	17.563	17.063	17.438	16.875	17.438	16.875	17.125	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.063	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.063	16.875	17.250	16.688	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.125	16.813	17.188	16.875	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.938	17.125	16.875	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.688	17.125	16.875	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.563	16.875	17.125	16.938	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.563	16.938	17.125	16.938	17.250	16.750	17.188	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.125	16.938	17.250	16.688	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.188	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.125	16.813	17.188	16.875	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.063	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.000	17.438	16.938	17.500	16.875	17.063	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.063	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.063	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.063	16.875	17.188	16.688	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.063	16.875	17.250	16.750	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.063	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.563	16.875	17.125	16.875	17.250	16.688	17.125	16.875	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.125	16.813	17.188	16.750	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.125	16.813	17.125	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.063	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.125	16.938	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.750	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.063	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.375	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.500	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.750	17.125	16.813	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.750	17.125	16.875	17.188	16.813	
17.500	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.750	17.125	16.813	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.063	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.000	17.500	17.063	17.438	16.938	17.500	16.875	17.063	16.875	17.188	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.125	16.938	17.250	16.750	17.125	16.875	17.188	16.875	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.063	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.063	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.813	17.188	16.813	
17.500	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.125	16.875	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.063	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.063	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.688	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.188	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.875	17.188	16.875	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.813	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.188	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.563	16.938	17.125	16.938	17.250	16.688	17.125	16.875	17.188	16.875	
17.438	17.063	17.563	17.063	17.500	16.938	17.563	16.938	17.125	16.875	17.250	16.750	17.188	16.875	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.188	16.875	17.250	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.063	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.063	16.875	17.250	16.750	17.125	16.875	17.188	16.875	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.063	16.875	17.250	16.688	17.125	16.875	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.875	17.188	16.813	
17.500	17.063	17.563	17.063	17.500	16.938	17.563	16.875	17.125	16.938	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.750	17.188	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.938	17.125	16.938	17.250	16.750	17.125	16.875	17.188	16.875	
17.438	17.063	17.500	17.063	17.500	16.938	17.563	16.875	17.125	16.938	17.250	16.750	17.125	16.875	17.188	16.875	
17.438	17.063	17.563	17.063	17.500	16.938	17.563	16.875	17.125	16.875	17.250	16.750	17.188	16.875	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.188	16.875	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.938	17.125	16.875	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.875	17.188	16.875	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.125	16.875	17.188	16.875	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.750	17.188	16.875	17.188	16.875	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.938	17.125	16.938	17.313	16.750	17.188	16.875	17.188	16.875	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.938	17.125	16.875	17.250	16.688	17.125	16.875	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.938	17.063	16.875	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.063	16.938	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.063	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.125	16.938	17.250	16.750	17.188	16.813	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.875	17.188	16.875	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.875	17.188	16.813	
17.500	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.688	17.125	16.875	17.188	16.813	
17.500	17.063	17.563	17.063	17.500	16.938	17.500	16.938	17.125	16.938	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.938	17.063	16.875	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.938	17.125	16.875	17.250	16.750	17.125	16.875	17.188	16.813	
17.500	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.813	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.063	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.813	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.750	17.125	16.813	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.563	16.875	17.125	16.938	17.250	16.750	17.125	16.875	17.188	16.875	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.063	16.875	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.750	17.125	16.875	17.188	16.813	
17.500	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.750	17.125	16.875	17.188	16.813	
17.500	17.063	17.563	17.063	17.500	16.938	17.563	16.875	17.125	16.938	17.250	16.750	17.125	16.875	17.188	16.813	
17.500	17.125	17.563	17.063	17.500	16.938	17.500	16.938	17.125	16.875	17.250	16.688	17.125	16.875	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.938	17.125	16.875	17.250	16.688	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.938	17.125	16.875	17.250	16.688	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.938	17.125	16.875	17.250	16.688	17.125	16.875	17.188	16.875	
17.438	17.063	17.500	17.063	17.500	16.938	17.563	16.875	17.125	16.875	17.250	16.688	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.813	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.063	16.875	17.250	16.750	17.125	16.813	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.063	16.875	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.938	17.125	16.938	17.250	16.750	17.188	16.875	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.938	17.125	16.938	17.250	16.750	17.188	16.875	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.563	16.875	17.125	16.875	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.813	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.938	17.125	16.875	17.250	16.750	17.188	16.875	17.188	16.875	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.688	17.188	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.750	17.125	16.875	17.188	16.875	
17.375	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.063	16.875	17.250	16.750	17.125	16.875	17.188	16.875	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.875	17.188	16.875	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.188	16.875	17.188	16.875	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.063	16.875	17.250	16.688	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.563	16.875	17.125	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.563	16.875	17.125	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.938	17.125	16.875	17.250	16.688	17.188	16.875	17.188	16.813	
17.500	17.063	17.563	17.063	17.500	16.938	17.500	16.938	17.125	16.938	17.250	16.688	17.188	16.875	17.188	16.875	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.063	16.875	17.250	16.688	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.063	16.875	17.250	16.750	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.188	16.875	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.188	16.875	17.188	16.875	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.938	17.125	16.875	17.250	16.688	17.188	16.875	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.750	17.188	16.875	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.875	17.188	16.875	
17.438	17.063	17.563	17.063	17.500	16.938	17.563	16.938	17.125	16.875	17.250	16.688	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.563	16.938	17.125	16.875	17.250	16.688	17.125	16.813	17.188	16.875	
17.438	17.063	17.563	17.063	17.500	16.938	17.563	16.938	17.125	16.875	17.250	16.688	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.563	16.938	17.125	16.875	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.563	16.875	17.063	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.563	16.875	17.063	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.063	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.063	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.063	16.875	17.250	16.750	17.188	16.875	17.188	16.875	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.188	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.063	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.188	16.875	17.188	16.875	
17.500	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.813	17.188	16.813	
17.500	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.750	17.188	16.875	17.188	16.813	
17.500	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.500	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.813	17.188	16.813	
17.500	17.063	17.563	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.750	17.125	16.813	17.188	16.813	
17.500	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.125	16.875	17.250	16.688	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.875	17.188	16.813	
17.438	17.063	17.500	17.000	17.438	16.875	17.500	16.875	17.125	16.875	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.500	16.938	17.500	16.875	17.125	16.938	17.250	16.688	17.125	16.813	17.188	16.813	
17.438	17.063	17.500	17.063	17.438	16.938	17.500	16.875	17.125	16.875	17.250	16.750	17.125	16.813	17.188	16.813	
